sample-id	biol_stat	geo_loc_name_country	geo_loc_name_country_continent	Host_Age	Host	library_name	samplename	host_sex	pathology
SRR23559414	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-506	AK-Deer-Sample:18-506	female	LN POS
SRR23559415	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-480	AK-Deer-Sample:18-480	male	BR & LN POS
SRR23559416	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-478	AK-Deer-Sample:18-478	male	BR & LN POS
SRR23559417	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-472	AK-Deer-Sample:18-472	female	BR & LN POS
SRR23559418	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-470	AK-Deer-Sample:18-470	female	LN POS
SRR23559419	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-467	AK-Deer-Sample:18-467	female	BR & LN POS
SRR23559420	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-460	AK-Deer-Sample:18-460	female	LN POS
SRR23559421	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-459	AK-Deer-Sample:18-459	female	LN POS
SRR23559422	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-458	AK-Deer-Sample:18-458	female	LN POS
SRR23559423	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-445	AK-Deer-Sample:18-445	female	BR & LN POS
SRR23559424	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-96	AK-Deer-Sample:14-96	female	Neg
SRR23559425	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-307	AK-Deer-Sample:18-307	female	LN POS
SRR23559426	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-295	AK-Deer-Sample:18-295	male	LN POS
SRR23559427	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-294	AK-Deer-Sample:18-294	female	BR & LN POS
SRR23559428	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-290	AK-Deer-Sample:18-290	female	LN POS
SRR23559429	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-276	AK-Deer-Sample:18-276	female	LN POS
SRR23559430	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-248	AK-Deer-Sample:18-248	female	LN POS
SRR23559431	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-247	AK-Deer-Sample:18-247	female	BR & LN POS
SRR23559432	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-215	AK-Deer-Sample:18-215	female	BR & LN POS
SRR23559433	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-209	AK-Deer-Sample:18-209	male	BR & LN POS
SRR23559434	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-208	AK-Deer-Sample:18-208	male	BR & LN POS
SRR23559435	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-93	AK-Deer-Sample:14-93	female	Neg
SRR23559436	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-207	AK-Deer-Sample:18-207	male	LN POS
SRR23559437	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-202	AK-Deer-Sample:18-202	male	LN POS
SRR23559438	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-371	AK-Deer-Sample:17-371	female	LN POS
SRR23559439	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-330	AK-Deer-Sample:17-330	female	LN POS
SRR23559440	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-329	AK-Deer-Sample:17-329	female	LN POS
SRR23559441	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-327	AK-Deer-Sample:17-327	male	LN POS
