ASV	s.BR & LN POS	s.LN POS	s.Neg	index	stat	p.value	Domain	Phylum	Class	Order	Family	Genus	Species
0c74a788573805738700b39e5a025542	0	1	1	6	0.661577674378392	0.025	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Polymorphospora	NA
fd543aa11dce421d7fca21c522861d2d	1	1	0	4	0.610091098449873	0.025	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Mumia	NA
a002d31bfd8ad46125bec21180cbc4d5	0	0	1	3	0.468521285665818	0.01	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Streptosporangiales	f__Streptosporangiaceae	g__Sphaerisporangium	NA
0a893c268bdd0b340c807ecbe041b40b	1	0	0	1	0.443584015542458	0.015	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Synergistes	NA
56259636ffbe5192332841d3210ef145	0	1	0	2	0.40791179004104	0.035	d__Bacteria	p__Chlamydiota	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	NA	NA
d6139f86c21d79ec89d313e88bbe7dc2	1	0	0	1	0.496147114653396	0.025	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Xanthobacteraceae	g__Aquabacter	NA
f33cf0a86e8ba27d09edffada1c17574	1	1	0	4	0.607777452475083	0.045	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	NA
22a58d0f21371896eb160102e97b91b5	0	0	1	3	0.489631101677628	0.02	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Isosphaerales	f__Isosphaeraceae	g__Tautonia	NA
bed6eae88257449e00e005f35af9bf83	0	1	0	2	0.790390828082115	0.01	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__[Renibacterium]_salmoninarum_group	NA
8872eeceeb3ea9989115ce469ebe2965	0	1	1	6	0.669762030071494	0.005	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Pseudoramibacter	NA
4d747110c6fb07cffb70300e34d94092	1	0	0	1	0.450896988799572	0.035	d__Bacteria	p__Bacillota	c__Clostridia	o__Clostridiales	f__Clostridiaceae	NA	NA
f89ca2048146ee8a584c4dc04a46d075	1	0	0	1	0.333333333333333	0.04	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__UCG-009	NA
3da575403ee7e8cb0d157f7f6195f992	1	1	0	4	0.763736635425911	0.015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	NA	NA
49d7c892beb06e1b3fb1b5987d4d1b40	1	1	0	4	0.694036591691254	0.02	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	NA	NA
2062401280082d48a49a7719c9fed874	1	0	0	1	0.552342386917586	0.04	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus	NA
4b4b688c375d27dded040d09655738fd	1	0	0	1	0.320792579265565	0.03	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-352	NA
0bcfcae5bbb08c5df2df95b7d7ed6048	0	1	0	2	0.50525640233797	0.035	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ethanoligenenaceae	g__Acetanaerobacterium	NA
3e093421fc9fc709a5c2fb3b3d41cbdf	1	0	0	1	0.385668220703263	0.02	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Paraeggerthella	NA
