sample-id	host_subject_id	Farm	Center Name	Collection_Date	env_broad_scale	geo_loc_name	Host_Age	host_body_habitat	host_body_product	Host_Diet	Host_disease	HOST	host_sex
SRR13314369	C18101	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314368	C18102	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	3.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314286	C18104	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314244	C18105	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	3.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314233	C18106	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314222	C18107	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314211	C18108	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	4.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314168	C18109	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314157	C18110	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314146	C18111	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314367	C18112	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314193	C18113	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	3.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314182	C18114	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314171	C18115	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314355	C18116	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314344	C18117	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314330	C18118	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314319	C18119	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314308	C18120	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314297	C18121	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314285	C18127	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314274	C18128	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314263	C18129	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314252	C18130	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314250	C18131	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	3.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314249	C18132	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314248	C18134	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314247	C18135	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314246	C18136	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314245	C18137	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314243	C18140	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314242	C18142	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314241	C18145	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	3.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314240	C18148	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314239	C18149	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314238	C18151	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314237	C18154	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314236	C18155	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314235	C18157	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314234	C18158	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314232	C18162	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314231	C18166	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314230	C18167	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314229	C18168	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314228	C18169	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314227	C18170	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314226	C18171	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314225	C18172	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314224	C18173	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314223	C18174	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314221	C18175	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	4.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314220	C18176	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314219	C18177	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314218	C18178	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314217	C18179	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314216	C18180	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314215	C18181	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314214	C18189	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314213	C18190	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314212	C18191	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	3.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314210	C18192	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314209	C18193	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.4	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314208	C18194	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314207	C18195	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314206	C18196	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314205	C18197	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314204	C18198	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314203	C18200	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314170	C18206	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	3.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314169	C18207	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314167	C18208	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314166	C18209	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314165	C18210	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314164	C18211	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314163	C18215	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	0.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314162	C18217	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314161	C18218	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314160	C18219	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314159	C18236	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	2.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
SRR13314158	C18238	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	1.5	gut	stool	herbivore	healthy	Odocoileus virginianus	female
SRR13314156	C1858	Free Range	OHIO STATE UNIVERSITY	2018	White-tailed deer microbiome	USA:Ohio	3.5	gut	stool	herbivore	healthy	Odocoileus virginianus	male
